PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.045 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=687 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=1688 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=1668 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=1685 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1794 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=553 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=2000 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=985 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=122 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=964 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=91.2 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=237 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=209 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=214 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=245 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=189 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=182 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=163 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=157 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=144 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=164 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=133 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=138 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=144 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=144 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=154 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=136 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=45.0 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=208 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=176 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=157 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=138 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=132 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=161 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=143 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=136 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=202 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=171 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=139 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=132 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=139 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 56 received, 8% packet loss, time 60141ms
rtt min/avg/max/mdev = 0.045/339.670/2000.171/482.423 ms, pipe 2
