PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.057 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=0.069 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=0.071 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=0.074 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=0.067 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=0.069 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=0.094 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=0.092 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=0.080 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=0.070 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=0.072 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=0.065 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=0.068 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=0.066 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=0.071 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=0.071 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=0.067 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=0.086 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=0.071 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=0.078 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=0.083 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=0.068 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=0.068 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=0.843 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=0.090 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=0.091 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=0.069 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=0.072 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=0.071 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=0.078 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=0.105 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=0.085 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=0.078 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=0.070 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=0.075 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=0.071 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=0.094 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=0.070 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=0.093 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=0.095 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=0.080 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=0.089 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=0.076 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=0.077 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=0.075 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=0.069 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=0.075 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=0.071 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=0.068 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=0.074 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=0.078 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=0.095 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=0.075 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 61370ms
rtt min/avg/max/mdev = 0.057/0.088/0.843/0.098 ms
