PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.056 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=1357 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=1996 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=1698 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=1587 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=1860 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1975 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1618 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1674 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=1728 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=1819 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=820 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=2510 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=3659 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=2975 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=1976 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=960 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=191 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=173 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=141 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=37.6 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=163 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=132 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=113 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=118 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=111 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=128 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=110 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=115 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=120 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=113 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=191 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=148 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=117 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=110 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=115 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=108 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=107 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=112 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=105 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=62.9 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=128 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=121 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=108 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=109 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=108 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=113 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=46.4 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=112 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=118 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=111 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=116 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=110 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=128 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=109 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 60153ms
rtt min/avg/max/mdev = 0.056/581.162/3659.014/853.347 ms, pipe 4
